Year,Population
1982-01-01,6765100
1983-01-01,6753000
1984-01-01,6754700
1985-01-01,6767000
1986-01-01,6774200
1987-01-01,6765600
1988-01-01,6729300
1989-01-01,6751600
1990-01-01,6798800
1991-01-01,6829300
1992-01-01,6829400
1993-01-01,6844500
1994-01-01,6873500
1995-01-01,6913100
1996-01-01,6974400
1997-01-01,7014800
1998-01-01,7065500
1999-01-01,7153900
2000-01-01,7236700
2001-01-01,7322400
2002-01-01,7376700
2003-01-01,7394800
2004-01-01,7432700
2005-01-01,7519000
2006-01-01,7597800
2007-01-01,7693500
2008-01-01,7812200
2009-01-01,7942600
2010-01-01,8061500
2011-01-01,8204400
2012-01-01,8308400
2013-01-01,8416500
2014-01-01,8538700
2015-01-01,8673713
